,number,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description,picture_file
13,14,Beacon Hill,"$925,000",5,4,"3,000","Step into luxury in this 5-bedroom, 4-bathroom home located in Beacon Hill. This expansive residence boasts a sophisticated living area with designer furnishings and a gourmet kitchen equipped with top-notch appliances. Enjoy outdoor entertaining on the large patio with beautiful landscaping in the backyard. The home also features a 3-car garage and is conveniently located near a country club with golf and tennis facilities, ensuring endless leisure opportunities. Your dream home awaits in Beacon Hill!","Beacon Hill is an upscale neighborhood characterized by elegant homes, upscale dining, and recreational facilities. Take advantage of top-notch golf courses, beautiful parks, and a strong sense of community with frequent social events.",././listing_pictures/R2901064_3.jpg
14,15,Cedar Ridge,"$1,100,000",4,3,"2,800","Introducing this luxurious 4-bedroom, 3-bathroom home nestled in Cedar Ridge. The property boasts a stylish living area complete with plush furnishings and built-in bookshelves. The open-plan kitchen is a chef's dream, offering modern stainless steel appliances and an inviting island for casual dining. Enjoy panoramic views of the city skyline through floor-to-ceiling windows. A highlight of the home is an elegant backyard with a pool and lounge area, perfect for unwinding. This home also includes 2-car garage access and proximity to elite shopping and dining options.","Cedar Ridge is a prestigious neighborhood featuring exclusive properties and top-tier amenities. The area boasts high-end shopping, gourmet restaurants, and well-maintained parks, making it a sought-after location for discerning families and professionals.",././listing_pictures/5a0c2c481b809392d36c59f0226f47.jpg
15,16,Sunny Meadows,"$600,000",2,2,"1,200","Welcome to this cozy 2-bedroom, 2-bathroom home in Sunny Meadows. This inviting living area features a comfortable sofa and a sleek coffee table, illuminated by natural light pouring in from large windows with views of a beautiful green backyard. The modern kitchen showcases stainless-steel appliances and a stylish breakfast bar. Enjoy additional features like built-in shelving for your books and decor. Relax in the serene backyard garden after a busy day. This home perfectly balances comfort and modern amenities.","Sunny Meadows is a vibrant community known for its friendly atmosphere and lush parks. Residents can enjoy nearby walking trails and lively community events. The neighborhood boasts excellent schools and convenient shopping options, ensuring a dynamic and enjoyable lifestyle.",././listing_pictures/637668.jpg
16,17,City Heights,"$1,200,000",3,3,"1,800","Discover luxury living in this spacious 3-bedroom, 3-bathroom unit in City Heights. Featuring a minimalist design, the living area boasts high ceilings and large windows with stunning views of the city skyline. The modern open kitchen combines function and style, featuring premium appliances and a breakfast bar. Additional amenities include a contemporary fireplace and indoor plants that enhance the atmosphere. Enjoy the vibrant city life while having a tranquil home to retreat to.","City Heights offers an urban lifestyle with easy access to fine dining, theaters, and cultural attractions. The neighborhood is known for its lively energy, with cafes, art galleries, and boutique shops just a short walk away. Residents benefit from public transport options that connect them easily to the rest of the city.",././listing_pictures/6900480.v.56f8458eaa02bc44cf81aa1e5d280907.jpg
17,18,Green Valley,"$850,000",4,3,"2,200","Step into this elegantly designed 4-bedroom, 3-bathroom home in the heart of Green Valley. The spacious living area provides comfortable seating arrangements complemented by beautiful hardwood flooring. The well-integrated kitchen features modern appliances and ample cabinetry. The ambiance is enhanced with stylish recessed lighting and a modern chandelier. Enjoy a generous yard space, perfect for entertaining or relaxing with loved ones, alongside a charming garden area.","Green Valley is recognized for its family-friendly environment and scenic views. The neighborhood features numerous parks, walking paths, and an active community center. With schools nearby and convenient access to shopping, Green Valley ensures all your needs are just moments away.",././listing_pictures/comfortable-sofas-with-cushions-placed-on-rug-in-light-living-room-with-green-potted-plant-and-fireplace-in-modern-open-space-flat-ADSF41818.jpg
18,19,Urban Oasis,"$1,000,000",5,4,"2,500","Welcome to this stylish 5-bedroom, 4-bathroom residence in Urban Oasis. This mixed-use living space blends modern design with functionality, featuring an open kitchen integrated into the living area. Enjoy various forms of lighting that create a warm ambiance. The large windows offer ample natural light and scenic outdoor views. Additional features include a home office, built-in storage, and sleek landscaping in the yard, providing both beauty and utility.","Urban Oasis is known for its unique balance of nature and city lifestyle. This neighborhood is surrounded by green spaces but maintains proximity to shopping and entertainment options. Residents enjoy community events and convenient access to public transportation, making it an ideal location for families and professionals alike.",././listing_pictures/f21c8ec4d586c53c9e001a66a3bb3926-cc_ft_960.jpg
19,20,Cozy Cove,"$500,000",1,1,800,"Introducing this charming 1-bedroom, 1-bathroom retreat in Cozy Cove. The living area showcases a cozy atmosphere with comfortable seating, a fireplace, and a lovely coffee table. Enjoy hardwood flooring that adds warmth and character. The room is well-lit with natural light, and an elegant chandelier adds a touch of class. Step outside to savor the view of the quaint outdoor area, perfect for morning coffee or evening relaxation.","Cozy Cove offers a tranquil setting with a tightly knit community feel. The neighborhood is characterized by its beautiful scenery and friendly neighbors, creating a peaceful atmosphere. Enjoy local shops, parks, and cafes that contribute to the relaxed lifestyle that residents cherish.",././listing_pictures/437bfceed35393503bbe658f15d1793e-full.jpg
20,21,City Heights,"$750,000",3,2,"2,000","Welcome to this modern sanctuary located in the vibrant City Heights neighborhood. This stunning 3-bedroom, 2-bathroom home features a spacious open-concept living area that flows seamlessly into a sleek kitchen equipped with high-end appliances and a stylish island. The large windows offer breathtaking views of the cityscape, while the indoor plants add a refreshing touch of nature. With a dedicated parking garage for two vehicles and an on-site fitness center, your urban lifestyle just became more convenient. Enjoy evenings on the rooftop terrace or take a short walk to nearby parks and trendy cafes.","City Heights is a bustling neighborhood known for its lively atmosphere, diverse dining options, and cultural hotspots. Residents enjoy easy access to public transport, top-rated schools, and family-friendly community events. Escape the city buzz in the green parks nearby, perfect for morning jogs or picnics.",././listing_pictures/1452565354741.jpeg
21,22,Greenwood Estates,"$900,000",4,3,"2,500","Discover luxury living in this contemporary 4-bedroom, 3-bathroom home in Greenwood Estates. The expansive living area boasts an elegant sofa arrangement and a large flat-screen TV, perfect for family movie nights. Step into the gourmet kitchen featuring modern cabinetry and an inviting island. The home is complemented by a spacious backyard with an outdoor pool, perfect for summer gatherings. Additional amenities include a two-car garage and a community clubhouse with a gym and spa, elevating your everyday living experience.","Greenwood Estates is a scenic community known for its tree-lined streets and family-friendly atmosphere. Enjoy weekend farmers' markets, community pools, and local parks with playgrounds. Proximity to top-rated schools makes this neighborhood a favorite among families looking for a nurturing environment.",././listing_pictures/ZQ7VFVFDOZBSTIWIX6N3LE4RSM.jpeg
22,23,Serene Valley,"$680,000",2,2,"1,800","Welcome to your tranquil retreat in Serene Valley! This cozy 2-bedroom, 2-bathroom home features a comfortable living area with ample seating and touches of modern decor. The well-equipped kitchen includes a breakfast bar for casual dining. Take in views of the lush garden through large windows that fill the space with natural light. The property also includes a single-car garage and access to a private community garden where you can grow your own herbs and vegetables, perfect for the gardening enthusiast.","Serene Valley is an idyllic neighborhood that emphasizes community and nature. Residents relish the peace of suburban living while having convenient access to grocery stores, trendy shops, and outdoor recreational areas. A local nature reserve offers hiking trails and picnic spots, making it perfect for outdoor lovers.",././listing_pictures/fb1a4a15ffb82dba0fc7a4dbc2fc94863c2b4a47-5-medium.jpeg
23,24,Maplewood,"$1,200,000",5,4,"3,200","Step into luxury with this magnificent 5-bedroom, 4-bathroom home in Maplewood. The expansive living room features a fireplace, perfect for cozy evenings, and is adorned with tasteful art. The open-concept kitchen is a chef's dream, equipped with the latest appliances and an island that doubles as a dining area. Enjoy an entertainer's backyard with a beautifully landscaped garden and an outdoor kitchen. Residents will also have access to a shared fitness center and swimming pool, with a three-car garage accommodating all your vehicles.","Maplewood is a prestigious neighborhood known for its spacious homes and family amenities. With top-tier schools, serene parks, and vibrant community events, it’s an ideal base for families. Enjoy quick access to shopping centers and fine dining restaurants, blending convenience with leisure in this charming community.",././listing_pictures/30c1136ebd27b9358da96bcc44984b8f6d4f50a2-1-medium.jpeg
